Heart Rate,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,power,speed,timestamp
126,127.0,0,0.0,127.0,1.0,126,0,0,150,1.0,2021-07-20 21:11:20
134,126.0,1,1.0,126.0,1.0,134,0,107,150,1.0,2021-07-20 21:11:21
142,125.0,2,2.0,125.0,1.0,142,0,214,150,1.0,2021-07-20 21:11:22
150,124.0,3,3.0,124.0,1.0,150,0,322,150,1.0,2021-07-20 21:11:23
158,123.0,4,4.0,123.0,1.0,158,0,429,150,1.0,2021-07-20 21:11:24
166,122.0,5,5.0,122.0,1.0,166,0,536,150,1.0,2021-07-20 21:11:25
173,121.0,6,6.0,121.0,1.0,173,0,643,150,1.0,2021-07-20 21:11:26
181,120.0,7,7.0,120.0,1.0,181,0,750,150,1.0,2021-07-20 21:11:27
188,119.0,8,8.0,119.0,1.0,188,0,857,150,1.0,2021-07-20 21:11:28
195,118.0,9,9.0,118.0,1.0,195,0,965,150,1.0,2021-07-20 21:11:29
201,117.0,10,10.0,117.0,1.0,201,0,1072,150,1.0,2021-07-20 21:11:30
207,116.0,11,11.0,116.0,1.0,207,0,1179,150,1.0,2021-07-20 21:11:31
213,115.0,12,12.0,115.0,1.0,213,0,1286,150,1.0,2021-07-20 21:11:32
219,114.0,13,13.0,114.0,1.0,219,0,1393,150,1.0,2021-07-20 21:11:33
224,113.0,14,14.0,113.0,1.0,224,0,1500,150,1.0,2021-07-20 21:11:34
229,112.0,15,15.0,112.0,1.0,229,0,1608,150,1.0,2021-07-20 21:11:35
234,111.0,16,16.0,111.0,1.0,234,0,1715,150,1.0,2021-07-20 21:11:36
238,110.0,17,17.0,110.0,1.0,238,0,1822,150,1.0,2021-07-20 21:11:37
241,109.0,18,18.0,109.0,1.0,241,0,1929,150,1.0,2021-07-20 21:11:38
245,108.0,19,19.0,108.0,1.0,245,0,2036,150,1.0,2021-07-20 21:11:39
247,107.0,20,20.0,107.0,1.0,247,0,2143,150,1.0,2021-07-20 21:11:40
250,106.0,21,21.0,106.0,1.0,250,0,2251,150,1.0,2021-07-20 21:11:41
251,105.0,22,22.0,105.0,1.0,251,0,2358,150,1.0,2021-07-20 21:11:42
252,104.0,23,23.0,104.0,1.0,252,0,2465,150,1.0,2021-07-20 21:11:43
253,103.0,24,24.0,103.0,1.0,253,0,2572,150,1.0,2021-07-20 21:11:44
254,102.0,25,25.0,102.0,1.0,254,0,2679,150,1.0,2021-07-20 21:11:45
253,101.0,26,26.0,101.0,1.0,253,0,2786,150,1.0,2021-07-20 21:11:46
252,100.0,27,27.0,100.0,1.0,252,0,2894,150,1.0,2021-07-20 21:11:47
251,99.0,28,28.0,99.0,1.0,251,0,3001,150,1.0,2021-07-20 21:11:48
250,98.0,29,29.0,98.0,1.0,250,0,3108,150,1.0,2021-07-20 21:11:49
247,97.0,30,30.0,97.0,1.0,247,0,3215,150,1.0,2021-07-20 21:11:50
245,96.0,31,31.0,96.0,1.0,245,0,3322,150,1.0,2021-07-20 21:11:51
241,95.0,32,32.0,95.0,1.0,241,0,3430,150,1.0,2021-07-20 21:11:52
238,94.0,33,33.0,94.0,1.0,238,0,3537,150,1.0,2021-07-20 21:11:53
234,93.0,34,34.0,93.0,1.0,234,0,3644,150,1.0,2021-07-20 21:11:54
229,92.0,35,35.0,92.0,1.0,229,0,3751,150,1.0,2021-07-20 21:11:55
224,91.0,36,36.0,91.0,1.0,224,0,3858,150,1.0,2021-07-20 21:11:56
219,90.0,37,37.0,90.0,1.0,219,0,3965,150,1.0,2021-07-20 21:11:57
213,89.0,38,38.0,89.0,1.0,213,0,4073,150,1.0,2021-07-20 21:11:58
207,88.0,39,39.0,88.0,1.0,207,0,4180,150,1.0,2021-07-20 21:11:59
201,87.0,40,40.0,87.0,1.0,201,0,4287,150,1.0,2021-07-20 21:12:00
195,86.0,41,41.0,86.0,1.0,195,0,4394,150,1.0,2021-07-20 21:12:01
188,85.0,42,42.0,85.0,1.0,188,0,4501,150,1.0,2021-07-20 21:12:02
181,84.0,43,43.0,84.0,1.0,181,0,4608,150,1.0,2021-07-20 21:12:03
173,83.0,44,44.0,83.0,1.0,173,0,4716,150,1.0,2021-07-20 21:12:04
166,82.0,45,45.0,82.0,1.0,166,0,4823,150,1.0,2021-07-20 21:12:05
158,81.0,46,46.0,81.0,1.0,158,0,4930,150,1.0,2021-07-20 21:12:06
150,80.0,47,47.0,80.0,1.0,150,0,5037,150,1.0,2021-07-20 21:12:07
142,79.0,48,48.0,79.0,1.0,142,0,5144,150,1.0,2021-07-20 21:12:08
134,78.0,49,49.0,78.0,1.0,134,0,5251,150,1.0,2021-07-20 21:12:09
126,77.0,50,50.0,77.0,1.0,126,0,5359,150,1.0,2021-07-20 21:12:10
119,76.0,51,51.0,76.0,1.0,119,0,5466,150,1.0,2021-07-20 21:12:11
111,75.0,52,52.0,75.0,1.0,111,0,5573,150,1.0,2021-07-20 21:12:12
103,74.0,53,53.0,74.0,1.0,103,0,5680,150,1.0,2021-07-20 21:12:13
95,73.0,54,54.0,73.0,1.0,95,0,5787,150,1.0,2021-07-20 21:12:14
87,72.0,55,55.0,72.0,1.0,87,0,5895,150,1.0,2021-07-20 21:12:15
80,71.0,56,56.0,71.0,1.0,80,0,6002,150,1.0,2021-07-20 21:12:16
72,70.0,57,57.0,70.0,1.0,72,0,6109,150,1.0,2021-07-20 21:12:17
